,symbol,price_change,percent_change,last_price,high,low,volume
484,STRK/USDT,-0.0081,-4.502,0.1718,0.1817,0.1714,3002327.385543
220,INJ/USDT,-0.48,-4.511,10.16,10.7,10.15,7805699.2993
314,ALPACA/USDT,-0.0027,-4.515,0.0571,0.0622,0.0556,1319003.59533
160,BAL/USDT,-0.069,-4.534,1.453,1.526,1.449,372870.31527
357,JASMY/USDT,-0.00059,-4.535,0.01242,0.01309,0.01241,4274106.10382
250,CELO/USDT,-0.0182,-4.547,0.3821,0.4009,0.38,1423791.76968
256,FIRO/USDT,-0.049,-4.562,1.025,1.077,1.023,314736.8803
498,OMNI/USDT,-0.16,-4.651,3.28,3.46,3.24,1458525.846
519,EIGEN/USDT,-0.056,-4.667,1.144,1.208,1.14,6471706.50858
495,TNSR/USDT,-0.0098,-4.669,0.2001,0.2125,0.1967,1254264.28845
472,BONK/USDT,-6.6e-07,-4.671,1.347e-05,1.426e-05,1.336e-05,17493258.43974322
538,BIO/USDT,-0.0047,-4.681,0.0957,0.101,0.0941,3927070.84238
89,TROY/USDT,-6.1e-05,-4.743,0.001225,0.00129,0.001221,1416630.061227
480,PYTH/USDT,-0.0082,-4.748,0.1645,0.1742,0.1645,2320650.78065
185,UMA/USDT,-0.068,-4.772,1.357,1.434,1.353,1943124.6165
293,LPT/USDT,-0.277,-4.777,5.522,5.824,5.489,2241473.21933
316,MBOX/USDT,-0.0042,-4.778,0.0837,0.0881,0.0834,1033605.14672
362,ALCX/USDT,-0.53,-4.788,10.54,11.16,10.49,497808.75395
457,CREAM/USDT,-0.29,-4.817,5.73,6.07,5.64,474193.86581
236,SKL/USDT,-0.0013,-4.818,0.02568,0.02701,0.0256,2860558.94538
478,ALT/USDT,-0.00196,-4.826,0.03865,0.04136,0.03862,5412763.96969
488,WIF/USDT,-0.027,-4.936,0.52,0.561,0.509,35616572.53009
541,CGPT/USDT,-0.0052,-4.967,0.0995,0.1055,0.0989,1952861.70304
261,ACM/USDT,-0.05,-4.97,0.956,1.133,0.95,7059928.7042
425,LQTY/USDT,-0.04,-4.988,0.762,0.806,0.762,1012489.393
267,ALICE/USDT,-0.027,-5.009,0.512,0.548,0.507,1137521.08985
287,SHIB/USDT,-7.3e-07,-5.014,1.383e-05,1.463e-05,1.381e-05,25726603.62516411
323,XEC/USDT,-1.15e-06,-5.031,2.171e-05,2.292e-05,2.159e-05,858838.77412254
392,KDA/USDT,-0.0252,-5.042,0.4746,0.5031,0.4666,2133983.249728
416,MAGIC/USDT,-0.0072,-5.053,0.1353,0.1427,0.1351,1342789.66051
515,TURBO/USDT,-0.000133,-5.084,0.002483,0.002654,0.002415,7193693.699058
491,BOME/USDT,-8.4e-05,-5.091,0.001566,0.001667,0.001546,4466812.474708
424,SSV/USDT,-0.42,-5.128,7.77,8.2,7.7,1862715.62448
137,ZEN/USDT,-0.54,-5.143,9.96,10.81,9.87,5898251.6688
262,BADGER/USDT,-0.086,-5.159,1.581,1.676,1.574,944385.95998
4,NEO/USDT,-0.4,-5.161,7.35,7.81,7.33,11070312.511
512,SLF/USDT,-0.0124,-5.167,0.2276,0.243,0.2234,2400370.10023
370,HIGH/USDT,-0.035,-5.178,0.641,0.678,0.636,1024076.035718
